Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Credit_History
1,0,1,0,572000,0,11000000,1
1,1,1,0,307600,150000,12600000,1
1,1,1,0,500000,180000,20800000,1
1,1,1,0,234000,254600,10000000,0
0,0,0,0,327600,0,7800000,1
1,0,0,0,216500,342200,15200000,1
0,1,0,0,222600,0,5900000,1
1,1,0,0,388100,0,14700000,0
1,1,1,0,1363300,0,28000000,1
0,0,0,0,240000,240000,12300000,1
0,0,0,0,309100,0,9000000,1
1,1,1,0,218500,151600,16200000,1
0,1,1,0,416600,0,4000000,0
1,1,1,0,1217300,0,16600000,0
0,0,1,0,466600,0,12400000,1
0,1,1,0,566700,0,13100000,1
1,1,1,0,458300,291600,20000000,1
1,1,1,0,378600,33300,12600000,1
1,0,1,0,922600,791600,30000000,1
0,0,1,0,130000,347000,10000000,1
1,1,0,0,188800,162000,4800000,1
0,1,0,0,208300,0,2800000,1
0,0,1,0,390900,0,10100000,1
0,0,0,0,376500,0,12500000,1
1,0,1,0,540000,438000,29000000,1
0,0,1,0,0,2400000,14800000,0
1,1,1,0,436300,125000,14000000,0
1,0,1,0,750000,375000,27500000,1
1,0,1,0,377200,83300,5700000,0
0,0,1,0,294200,238200,12500000,1
0,0,0,0,247800,0,7500000,1
1,1,1,0,625000,82000,19200000,1
0,0,1,0,326800,168300,15200000,1
1,0,1,0,278300,270800,15800000,1
1,0,1,0,274000,154100,10100000,1
0,0,1,0,315000,0,17600000,0
1,1,1,0,735000,402900,18500000,1
1,0,1,0,226700,279200,9000000,1
0,0,1,0,583300,0,11600000,1
0,0,1,0,364300,196300,13800000,1
1,0,1,0,562900,81800,10000000,1
0,0,1,0,364400,0,11000000,1
1,0,0,0,175000,202400,9000000,1
0,0,1,0,650000,260000,20000000,1
0,0,1,0,366600,0,8400000,1
1,0,1,0,426000,390000,18500000,0
1,0,0,0,416300,147500,16200000,1
0,0,0,0,235600,190200,10800000,1
0,0,1,0,679200,333800,18700000,1
1,1,0,0,800000,25000,18700000,1
1,1,1,0,241900,170700,12400000,1
1,1,0,0,350000,83300,12000000,1
1,1,1,0,350000,307700,16000000,1
1,1,1,0,411600,100000,3000000,1
1,0,0,0,529300,0,9200000,1
0,0,1,0,275000,0,13000000,0
0,0,0,0,440200,0,13000000,1
1,1,1,0,361300,353900,13400000,1
1,1,1,0,277900,366400,17600000,0
1,1,1,0,472000,0,9000000,1
1,0,0,0,241500,172100,11000000,1
1,0,1,0,701600,29200,12500000,1
0,1,1,0,496800,0,18900000,1
0,0,1,0,210100,150000,10800000,0
1,1,0,0,449000,0,12500000,1
1,0,1,0,291700,358300,13800000,1
1,0,0,0,470000,0,13500000,0
1,0,1,0,344500,0,13000000,0
1,0,1,0,766600,0,18700000,1
1,0,1,0,245800,510500,18800000,0
0,0,1,0,325000,0,9500000,1
0,0,1,0,446300,0,6500000,1
1,1,1,0,408300,177500,13900000,1
1,0,1,0,390000,209400,23200000,1
1,0,0,0,475000,358300,14400000,1
0,0,1,0,358300,343500,15500000,1
1,0,1,0,318900,236700,18600000,1
0,0,1,0,635600,0,5000000,1
1,1,1,0,341300,405300,0,1
1,0,1,0,795000,0,18500000,1
1,1,1,0,382900,110300,16300000,0
1,1,1,0,7252900,0,36000000,1
1,1,0,0,413600,0,14900000,0
1,0,1,0,844900,0,25700000,1
1,0,1,0,445600,0,13100000,0
1,1,1,0,463500,800000,10200000,1
1,0,1,0,357100,191700,13500000,1
0,0,1,0,306600,0,9500000,1
0,1,0,0,323500,201500,7700000,1
0,0,1,0,505800,0,20000000,1
1,0,1,0,318800,228600,13000000,0
1,1,1,0,1351800,0,39000000,1
1,1,1,0,436400,250000,18500000,1
1,1,0,0,476600,164600,10000000,1
1,1,1,0,460900,233300,12300000,0
1,1,1,0,626000,0,11000000,1
1,1,1,0,333300,420000,25600000,1
1,0,1,0,350000,325000,14000000,1
1,1,1,0,971900,0,6100000,1
1,1,1,0,683500,0,18800000,0
0,0,1,0,445200,0,13100000,1
1,0,1,0,226200,0,0,0
1,1,1,0,390100,0,11600000,1
1,1,0,0,268700,0,5000000,1
0,0,1,0,224300,223300,10700000,0
1,0,1,0,341700,128700,20000000,1
0,0,1,0,159600,176000,11900000,0
1,1,1,0,451300,0,12000000,1
1,0,1,0,450000,0,14000000,1
1,0,0,0,452300,135000,16500000,1
0,0,1,0,474200,0,10800000,1
1,0,1,0,408200,0,9300000,1
0,0,1,0,341700,0,10200000,1
1,1,1,0,292200,339600,12200000,1
