index,Credit_Status,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Credit_History
1,Y,0,0,1,0,584900,0,15000000,1
3,Y,1,0,1,1,300000,0,6600000,1
4,Y,1,0,0,0,258300,235800,12000000,1
5,Y,0,0,1,0,600000,0,14100000,1
7,Y,1,0,0,0,233300,151600,9500000,1
14,N,0,0,1,0,185300,284000,11400000,1
16,Y,0,0,1,0,495000,0,12500000,1
18,N,0,0,1,0,351000,0,7600000,0
19,N,1,0,0,0,488700,0,13300000,1
20,Y,1,0,1,0,260000,350000,11500000,1
21,N,1,0,0,0,766000,0,10400000,0
23,N,1,0,0,0,260000,191100,11600000,0
26,Y,1,0,1,1,956000,0,19100000,1
27,Y,1,0,1,0,279900,225300,12200000,1
29,N,0,0,0,0,144200,0,3500000,1
32,N,0,0,1,0,316700,0,7400000,1
34,Y,1,0,1,0,350000,166700,11400000,1
36,Y,1,0,1,0,227500,206700,0,1
37,N,1,0,1,0,182800,133000,10000000,0
38,Y,1,0,1,0,366700,145900,14400000,1
39,Y,0,0,1,0,416600,721000,18400000,1
40,Y,0,0,0,0,374800,166800,11000000,1
41,N,0,0,1,0,360000,0,8000000,1
42,Y,0,0,1,0,180000,121300,4700000,1
43,Y,1,0,1,0,240000,0,7500000,0
44,Y,1,0,1,0,394100,233600,13400000,1
45,Y,1,0,0,1,469500,0,9600000,1
46,Y,0,0,1,0,341000,0,8800000,1
48,Y,1,0,1,0,582100,0,14400000,1
49,N,1,0,1,0,264500,344000,12000000,0
2,N,1,1,1,0,458300,150800,12800000,1
6,Y,1,1,1,1,541700,419600,26700000,1
8,N,1,1,1,0,303600,250400,15800000,0
9,Y,1,1,1,0,400600,152600,16800000,1
10,N,1,1,1,0,1284100,1096800,34900000,1
11,Y,1,1,1,0,320000,70000,7000000,1
12,Y,1,1,1,0,250000,184000,10900000,1
13,Y,1,1,1,0,307300,810600,20000000,1
15,Y,1,1,1,0,129900,108600,1700000,1
17,Y,0,1,0,0,359600,0,10000000,0
22,Y,1,1,1,0,595500,562500,31500000,1
24,N,1,1,0,0,336500,191700,11200000,0
25,N,1,1,1,0,371700,292500,15100000,0
28,Y,1,1,0,0,422600,104000,11000000,1
30,Y,0,1,1,0,375000,208300,12000000,1
31,N,1,1,1,0,416600,336900,20100000,0
33,N,0,1,1,1,469200,0,10600000,1
35,N,0,1,1,0,1250000,300000,32000000,1
47,Y,1,1,1,0,564900,0,4400000,1
